Student Id, Country code, enrolled year, Gender, Experienced, course code, engagement month, engagement year, engagement type
1,US,9,2020,38,M,true,JMC,AUGUST,2024,Lecture 61,US,9,2020,38,M,true,PYC,APRIL,2024,Lecture 1
2,GB,4,2017,59,M,true,JMC,AUGUST,2021,Lecture 62,GB,4,2017,59,M,true,PYC,AUGUST,2022,Lecture 10
3,CN,8,2016,67,U,false,JMC,DECEMBER,2018,Lecture 13,CN,8,2016,67,U,false,PYC,OCTOBER,2016,Lecture 2
4,IN,12,2023,75,U,true,JMC,JULY,2023,Lecture 74,IN,12,2023,75,U,true,PYC,AUGUST,2024,Lecture 13
5,US,8,2017,26,F,false,JMC,OCTOBER,2019,Lecture 55,US,8,2017,26,F,false,PYC,JANUARY,2019,Lecture 1
6,GB,6,2023,63,M,false,JMC,AUGUST,2024,Lecture 86,GB,6,2023,63,M,false,PYC,DECEMBER,2024,Lecture 2
7,US,10,2019,44,U,true,JMC,NOVEMBER,2024,Lecture 117,US,10,2019,44,U,true,PYC,AUGUST,2021,Lecture 4
8,CN,10,2018,67,M,false,JMC,AUGUST,2020,Lecture 78,CN,10,2018,67,M,false,PYC,DECEMBER,2022,Lecture 1
9,CN,12,2020,79,U,true,JMC,JULY,2020,Lecture 79,CN,12,2020,79,U,true,PYC,OCTOBER,2024,Lecture 14
10,GB,3,2015,75,U,false,JMC,JUNE,2021,Lecture 1010,GB,3,2015,75,U,false,PYC,NOVEMBER,2016,Lecture 13
11,GB,8,2019,38,U,true,JMC,SEPTEMBER,2019,Lecture 1411,GB,8,2019,38,U,true,PYC,SEPTEMBER,2023,Lecture 1
12,AU,7,2018,30,U,true,JMC,DECEMBER,2023,Lecture 1312,AU,7,2018,30,U,true,PYC,JANUARY,2023,Lecture 6
13,CN,7,2021,88,F,false,JMC,MARCH,2024,Lecture 1313,CN,7,2021,88,F,false,PYC,FEBRUARY,2021,Lecture 12
14,CN,8,2021,36,U,true,JMC,JANUARY,2022,Lecture 1014,CN,8,2021,36,U,true,PYC,APRIL,2023,Lecture 5
15,GB,7,2016,30,U,false,JMC,OCTOBER,2021,Lecture 315,GB,7,2016,30,U,false,PYC,MARCH,2016,Lecture 7
16,IN,2,2018,82,U,true,JMC,FEBRUARY,2021,Lecture 716,IN,2,2018,82,U,true,PYC,AUGUST,2022,Lecture 10
17,IN,9,2018,31,U,false,JMC,MARCH,2024,Lecture 1117,IN,9,2018,31,U,false,PYC,APRIL,2023,Lecture 7
18,US,4,2024,22,M,false,JMC,JANUARY,2024,Lecture 918,US,4,2024,22,M,false,PYC,MARCH,2024,Lecture 4
19,CN,10,2024,73,M,false,JMC,FEBRUARY,2024,Lecture 719,CN,10,2024,73,M,false,PYC,AUGUST,2024,Lecture 8
20,GB,2,2019,85,U,false,JMC,NOVEMBER,2021,Lecture 320,GB,2,2019,85,U,false,PYC,APRIL,2022,Lecture 9
21,AU,7,2017,89,M,false,JMC,FEBRUARY,2020,Lecture 521,AU,7,2017,89,M,false,PYC,APRIL,2019,Lecture 3
22,US,4,2017,24,M,false,JMC,OCTOBER,2020,Lecture 1422,US,4,2017,24,M,false,PYC,OCTOBER,2018,Lecture 13
23,US,10,2019,27,F,false,JMC,JULY,2024,Lecture 223,US,10,2019,27,F,false,PYC,NOVEMBER,2021,Lecture 2
24,GB,6,2017,28,M,false,JMC,JULY,2018,Lecture 224,GB,6,2017,28,M,false,PYC,APRIL,2019,Lecture 7
25,IN,4,2018,54,F,false,JMC,MARCH,2022,Lecture 925,IN,4,2018,54,F,false,PYC,JUNE,2022,Lecture 3
